Boleta,Fecha,Camion,Material,Toneladas
86dw9ym65,18/03/2025,,ACOLCHADO VEGETAL,14.81
86dwb3b18,19/03/2025,,ACOLCHADO VEGETAL,21.96
86dwb3jyr,20/03/2025,,ACOLCHADO VEGETAL,22.26
86dwb3k06,21/03/2025,,ACOLCHADO VEGETAL,12.85
86dwb3k24,22/03/2025,,ACOLCHADO VEGETAL,13.57
86dwg2dw0,31/03/2025,,ACOLCHADO VEGETAL,19.67
86dwg2dxw,1/4/2025,,ACOLCHADO VEGETAL,9.48
86dwg2eaj,2/4/2025,,ACOLCHADO VEGETAL,11.25
86dwg2eey,3/4/2025,,ACOLCHADO VEGETAL,3.25
86dwg2eg5,4/4/2025,,ACOLCHADO VEGETAL,7.32
86dwg2ejr,5/4/2025,,ACOLCHADO VEGETAL,7.19
86dwg2enc,7/4/2025,,ACOLCHADO VEGETAL,12.33
86dwkp301,8/4/2025,,ACOLCHADO VEGETAL,19.82
86dwkp33a,9/4/2025,,ACOLCHADO VEGETAL,18
86dwkp36r,10/4/2025,,ACOLCHADO VEGETAL,8.76
86dwkp38n,11/4/2025,,ACOLCHADO VEGETAL,3.56
86dwkp39q,12/4/2025,,ACOLCHADO VEGETAL,3.6
86dwkp3be,14/04/2025,,ACOLCHADO VEGETAL,7.68
86dwkp3f1,15/04/2025,,ACOLCHADO VEGETAL,1.85
86dwkp3ga,16/04/2025,,ACOLCHADO VEGETAL,9.64
86dwkp3tb,21/04/2025,,ACOLCHADO VEGETAL,14.55
86dwkp3ua,22/04/2025,,ACOLCHADO VEGETAL,12.59
86dwkp40f,23/04/2025,,ACOLCHADO VEGETAL,18.37
86dwn6pa0,1/5/2025,,ACOLCHADO VEGETAL,58.76
86dx3fqxu,1/6/2025,,ACOLCHADO VEGETAL,79.46
